Neighbourhood,Venue Latitude,Venue Longitude,Venue,Venue Category
Barrio Gótico,41.38382208328236,2.170552990259914,Carrefour Market,Supermarket
Barrio Gótico,41.378681506001186,2.1708066613980357,Fleadonia Flea Market,Flea Market
"Sant Pere, Santa Caterina i la Ribera",41.38876460467888,2.1847052604855457,Van Van Market,Food Court
"Sant Pere, Santa Caterina i la Ribera",41.39376915734287,2.1774494647979736,Organic Market Sant Joan,Organic Grocery
Sagrada Familia,41.403133000000004,2.177491,Pacífico Latin Food Market,Deli / Bodega
Sagrada Familia,41.4064903,2.1691102000000004,Carrefour Market,Supermarket
La Derecha del Ensanche,41.397354705395706,2.1619731187820435,Woki Organic Market,Fruit & Vegetable Store
La Derecha del Ensanche,41.39433144644542,2.169537339515499,El Racó Ecològic,Vegetarian / Vegan Restaurant
La Derecha del Ensanche,41.397459000000005,2.162196,Organic Market,Organic Grocery
L'Antiga Esquerra de l'Eixample,41.394969,2.153531,Doméstico Market,Furniture / Home Store
L'Antiga Esquerra de l'Eixample,41.39091520931881,2.1505140509825016,Dia Market,Food & Drink Shop
La Nova Esquerra de l'Eixample,41.38379996337464,2.14014501798215,Carrefour Market,Supermarket
La Nova Esquerra de l'Eixample,41.384581,2.155806,Organic Market Urgell,Organic Grocery
La Nova Esquerra de l'Eixample,41.38287589364415,2.15746175840188,Dia Market,Convenience Store
Sants,41.375446922357156,2.1284076058982184,Carrefour Market,Supermarket
Sants,41.375535,2.1287,Carrefour Market,Supermarket
Les Corts,41.383706,2.139944,Carrefour Market,Supermarket
La Maternitat i Sant Ramon,41.37634162401221,2.123901844024658,Pizza Market Sants,Pizza Place
Las Tres Torres,41.397838,2.1222630000000002,organic market,Market
Las Tres Torres,41.40277050599278,2.1360157206245947,Pizza Market Sarrià,Pizza Place
Sant Gervasi-Galvany,41.39173478821545,2.1415538454252108,Metric Market,Restaurant
Sant Gervasi-Galvany,41.39668219962965,2.1440766197744754,Nomo Market,Japanese Restaurant
Vila de Gràcia,41.40313856545435,2.15402742929361,Woki Organic Market - Gracia,Market
Vila de Gràcia,41.39796134327589,2.157564001803951,The Market Barcelona,Peruvian Restaurant
La Sagrera,41.41983069017928,2.1964032896652754,Carrefour Market,Supermarket
La Sagrera,41.41849776953261,2.189004421234131,Dia Market,Grocery Store
Navas,41.419195568607826,2.17905998669429,Carrefour Market,Supermarket
El Clot,41.41105090441933,2.185581235110501,Dia Market,Convenience Store
El Clot,41.40744190063828,2.1831452938119225,Dia Market Valencia,Grocery Store
Poble Nou,41.3984975369386,2.1956157802311167,Market Cuina,Mediterranean Restaurant
Poble Nou,41.40029771191685,2.20349630034066,Woki Organic Market,Organic Grocery
Diagonal Mar i Front Marítim del Poblenou,41.40443327710218,2.210289238089355,Palo Alto Market,Flea Market
La Verneda i la Pau,41.422657239486476,2.206896231224211,Dia Market,Grocery Store
