NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
7,Horta - Guinardó,43,Horta,41.4330206,2.1590883,27340,79.8,3438,3982,5671,5964,4537,3271,477,17771,10.3,1.0
8,Nou Barris,44,Vilapicina i La Torre Llobeta,41.4300186,2.1760694,25805,63.8,3084,3777,5425,5520,4550,2979,470,16400,10.4,0.0
8,Nou Barris,45,Porta,41.4331882,2.1760336,26446,64.4,3241,3895,6075,5655,4004,3197,379,17963,9.2,0.0
8,Nou Barris,46,Turó de la Peira,41.4323672,2.1690681,15710,51.9,2183,2528,3402,3507,1820,1917,353,10552,10.2,0.0
8,Nou Barris,47,Can Peguera,41.4348568,2.1657848,2288,51.5,321,364,444,516,342,260,41,1411,10.5,0.0
8,Nou Barris,48,La Guineueta,41.4403026,2.1704023,15361,53.8,1912,2058,2877,3328,2749,2178,259,9052,13.2,0.0
8,Nou Barris,49,Canyelles,41.443308,2.165594,6879,52.2,773,923,1235,1442,1623,807,76,4082,14.2,0.0
8,Nou Barris,50,Les Roquetes,41.4477984,2.1762713,16156,49.7,2423,2865,3854,3293,2295,1304,122,10915,11.5,0.0
8,Nou Barris,51,Verdún,41.4440404,2.1758401000000003,12531,51.3,1655,1976,2857,2707,1806,1377,153,8306,11.6,0.0
8,Nou Barris,52,La Prosperitat,41.4423335,2.1794381,26785,56.0,3355,4080,5762,5554,4310,3387,337,16807,11.0,0.0
8,Nou Barris,53,La Trinitat Nova,41.449185,2.182427,7591,48.2,1104,1319,1734,1627,1078,619,110,5195,16.5,0.0
8,Nou Barris,54,Torre Baró,41.4580108,2.1839863,2914,46.5,521,542,654,681,343,155,18,1985,12.0,0.0
8,Nou Barris,55,Ciudad Meridiana,41.46069,2.174121,10798,38.6,1801,2053,2513,2120,1334,919,58,7218,17.2,0.0
8,Nou Barris,56,Vallbona,41.4642,2.183723,1405,40.9,252,202,354,283,169,119,26,901,16.0,0.0
9,Sant Andreu,57,La Trinitat Vella,41.4501759,2.1913441,10285,47.1,1756,1883,2495,2154,1246,678,73,7009,16.4,0.0
