Parameter,coef
75-89years,-1.1422890059069948
0-14years,-0.9113385017941115
60-74years,-0.12775956030665914
unemployement rate,0.03127055439151
RFD,0.15904428180267374
30-44years,0.35354303128632447
45-59years,0.6248804259487443
>=90years,0.7231441858264568
15-29years,0.8507391855194577
